Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
7293254	4769	437	8859	5323.5	2123	8524
7293255	5913	1171	8295	4758	1232	8284
7293256	5827	465	9629	5069.5	510	9629
7293257	8693	3504	13120	9373	5626	13120
7293258	2333	211	3709	1960	211	3709
7293259	3507	438	5244	2874	504	5244
7293260	7463	2956	11272	7971	4770	11172
7293261	6756	3058	10409	7546	4683	10409
7293262	3524	556	5104	2898	692	5104
7293263	7165	2528	12285	9559.5	6834	12285
7293264	8914	2875	12220	7377.5	3292	11463
7293265	5446	1395	7638	4576.5	1515	7638
7293266	5822	1871	8250	5039	2015	8063
7293267	4445	1303	6288	3838.5	1410	6267
7293268	8052	738	11998	6368	738	11998
7293269	6229	1706	9259	5647.5	2036	9259
7293270	6244	1059	8965	5030	1095	8965
7293271	9177	2863	13219	7799.5	2863	12736
7293272	9141	670	13378	7024	670	13378
7293273	9272	1841	13983	9409.5	4836	13983
7293274	6810	2369	9787	6587.5	3493	9682
7293275	8146	1988	11846	6845.5	2329	11362
7293276	6630	1690	9890	5382.5	1745	9020
7293277	6075	2453	9248	7003.5	4783	9224
7293278	7078	930	10666	5850	1034	10666
7293279	1890	14	3615	2263	911	3615
7293280	2565	1322	6430	4685.5	2941	6430
7293281	6574	663	10359	5601	843	10359
7293282	4856	1811	8614	6735	4856	8614
7293283	6172	1804	9397	5837	2277	9397
7293284	5523	1530	8315	5173	2130	8216
7293285	3990	1719	6882	4817.5	2753	6882
7293286	6833	2955	10322	6902.5	3483	10322
7293287	3175	48	5168	2778.5	389	5168
7293288	6637	986	10004	5507	1010	10004
7293289	6097	2289	10045	6703.5	3362	10045
7293290	6128	844	9274	5191.5	1109	9274
7293291	8357	1374	11708	6812	1916	11708
7293292	7098	488	13302	7326.5	1351	13302
7293293	7097	1018	10401	6110.5	2897	9324
7293294	7336	1384	10374	5996	1618	10374
7293295	7154	2095	10725	5900.5	2095	9706
7293296	10693	3201	16419	10602.5	4786	16419
7293298	6715	3027	12695	9705	6715	12695
7293299	9812	1329	14912	7939	1442	14436
7293300	5829	1955	8733	5750.5	2768	8733
7293301	6070	437	9426	4931.5	437	9426
7293302	7869	2827	11339	7327.5	3839	10816
7293303	5027	323	8553	4438	323	8553
7293304	6987	2578	10545	7010.5	3691	10330
7293305	4996	1163	7291	4474	1657	7291
7293306	6447	815	9505	5140	830	9450
7293307	6033	440	11611	6292	973	11611
7293308	9098	320	17113	8716.5	320	17113
7293309	6125	1780	8461	5268	2497	8039
7293310	8346	3569	12191	9130	6069	12191
7293311	6195	2992	9594	7041.5	4489	9594
7293312	4791	123	8934	4528.5	123	8934
7293313	7626	503	11543	6023	503	11543
7293314	2796	770	4696	2292	770	3814
7293315	6830	2721	11476	8223	4970	11476
7293316	5276	1311	7762	4855.5	1949	7762
7293317	6864	1487	9945	5544	1487	9601
7293318	9389	3539	13313	8720.5	4540	12901
7293319	4105	560	6323	3665	1007	6323
7293320	8411	1099	12007	6609.5	1313	11906
7293321	8483	1601	12170	6910	1819	12001
7293322	6855	296	12607	6451.5	296	12607
7293323	3904	1477	6085	4467	2849	6085
7293324	7102	1329	10241	5575	1638	9512
7293325	9104	1040	13124	7304	1484	13124
7293326	8702	1337	12278	7159.5	2309	12010
7293327	9013	2607	13555	8877	5795	11959
7293328	9444	2330	14634	6105.5	2330	9881
7293329	7166	3582	16116	8755	5656	11854
7293330	9119	1151	13643	6505	1297	11713
7293331	8350	1487	11742	6751	2184	11318
7293332	3447	207	5945	3077	209	5945
7293333	4823	893	6824	4156	1596	6716
7293334	7418	397	11693	6162	631	11693
7293335	4896	133	9795	4964	133	9795
7293336	8350	890	12349	6619.5	890	12349
7293337	10645	1343	16011	8032.5	1343	14722
7293338	8815	1472	12791	6971	1892	12050
7293339	7914	2020	11431	6985	2539	11431
7293340	9542	4016	17504	12496.5	7489	17504
7293341	1984	11	5576	2793.5	11	5576
7293342	205	0	3129	149	0	298
7293343	693	0	4519	2259.5	0	4519
7293344	5857	2577	13552	10131.5	6711	13552
7293345	3142	1503	7407	5274.5	3142	7407
7293346	7687	1056	11635	5491.5	1056	9927
7293347	9060	1622	12824	7640.5	2546	12735
7293348	8005	1498	12275	6968.5	1662	12275
7293349	7291	534	11105	5819.5	534	11105
7293350	9633	3693	17124	11694.5	6651	16738
7293351	8176	158	16279	8218.5	158	16279
7293352	7837	235	15400	7817.5	235	15400
7293353	5852	571	7935	4009	571	7447
7293354	4029	1907	7947	5409	2871	7947
7293355	4524	330	7287	3808.5	330	7287
7293356	4765	296	8210	4253	296	8210
7293357	5681	2234	11285	6246	3134	9358
7293358	5114	2343	9237	6392.5	3548	9237
7293359	5143	720	7681	4017.5	720	7315
7293360	6150	2952	14422	10248.5	6075	14422
7293361	7071	2990	12353	7552	2990	12114
7293362	5891	2914	13760	9592.5	5425	13760
7293363	4833	2646	12327	8580	4833	12327
7293364	5378	2513	9630	6117.5	2605	9630
7293365	4353	2166	6981	4553.5	2166	6941
7293366	4725	1680	7496	4588	1680	7496
7293367	5411	2359	10006	6410	2814	10006
7293368	6956	1342	11289	6311.5	1342	11281
7293369	5497	2880	12892	9189.5	5487	12892
7293370	9158	872	14927	8122	1317	14927
7293371	6250	2109	10898	6433	2109	10757
7293372	6461	2564	11784	7174	2564	11784
7293373	7695	1787	13683	6674	1787	11561
7293374	6892	3901	17388	13139.5	8891	17388
7293375	5897	306	9545	4925.5	306	9545
7293376	6542	624	9694	5032	624	9440
7293377	5530	2206	9985	6095.5	2206	9985
7293378	4903	201	8969	4585	201	8969
7293379	7217	2267	12627	7906	3185	12627
7293380	6830	3529	16757	12528.5	8300	16757
7293381	4652	828	7237	4032.5	828	7237
7293382	2725	25	8797	4478.5	160	8797
7293383	4877	2378	11880	8142	4404	11880
7293384	3170	12	20487	10249.5	12	20487
7293385	7612	3946	17627	11938	6249	17627
7293386	7189	2284	13047	7860.5	2674	13047
7293387	5181	38	9643	4840.5	38	9643
7293388	6573	1821	10835	6328	1821	10835
7293389	5222	233	9815	5024	233	9815
7293390	6135	1630	11955	6792.5	1630	11955
7293391	4838	1065	7664	4450.5	1237	7664
7293392	6623	1492	11267	6084.5	1492	10677
7303012	382	2	9914	4959	4	9914
