Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
07293385	3418	19	8771	2836	1972	5157
07293386	2960	5	6525	1861	982	3324
07293387	2330	9	5169	1795	16	3119
07293388	2713	13	5692	1830	794	2880
07293389	2283	14	5207	1589	110	2968
07293390	2961.5	15	5698	1976	734	3259
07293391	2031	6	4486	1350	577	2209
07293392	2685	10	5717	1799	722	2830
07303012	854	0	4984	1399.5	0	2130
NTC-p1-7-26-2021	501.5	0	7149	2160	0	3272
NTC-p1-7-29-2021	815.5	0	7045	961.5	0	2847
NTC-p2-7-26-2021	134	0	288	20	0	141
NTC-p2-7-29-2021	1615	0	9414	1636	0	4005
NTC-p3-7-26-2021	2149	0	9202	4227	0	6958
NTC-p3-7-29-2021	2659.5	6	6351	2044	14	4187
NTC-p4-7-29-2021	643.5	0	1973	1	0	4
NTC-pMalta-7-29-2021	749.5	0	10950	1926	0	4331
PositiveControl-p1-7-26-2021	883	0	8912	2833	0	4485
PositiveControl-p1-7-29-2021	1472.5	0	11176	3786	0	6083
PositiveControl-p2-7-26-2021	2549	0	19418	6285	0	9543
PositiveControl-p2-7-29-2021	1958	6	6181	2055.5	16	4041
PositiveControl-p3-7-26-2021	2416	0	5523	12	0	59
PositiveControl-p3-7-29-2021	1383	0	5663	1519	0	2155
PositiveControl-p4-7-29-2021	946	3	5742	1486.5	3	2312
PositiveControl-pMalta-7-29-2021	802	0	8974	897.5	0	3250
U2944	2982	2	7448	2688	224	5783
U2945	2352	11	8541	3334	11	6176
U2946	2205	0	8969	3451.5	3	6270
U2947	2810	1	6748	2614	275	5379
U2948	2929	7	7444	2688.5	212	5420
U2949	2944	9	7611	2752	190	5688
U2950	2675.5	5	6538	2482.5	210	5062
U2951	3043	7	6140	2402	121	4511
U2952	2846.5	1	8955	3266.5	41	6461
U2953	2612	3	6709	2412.5	172	5080
U2954	3669	5	7205	2545	363	5166
U2955	3944.5	6	7759	3055	848	5418
U2956	3011	5	7926	2810	259	5844
U2957	4222	13	7763	3088.5	852	5459
U2958	3190	2	8507	3018.5	70	5984
U2959	3334	4	7287	2727	473	5300
U2960	2747	1	6898	2626	163	5526
U2961	2439.5	8	6662	2646	64	5095
U2962	2980	0	7258	2838	318	5661
U2963	2968	0	8263	3057	120	6381
U2964	2783	7	6959	2595	270	5268
U2965	1859	2	6607	2664	16	4871
U2966	2604	2	6721	2451.5	170	5037
U2967	2972	4	7018	2552	143	5257
U2968	2228	0	7118	2868	18	5354
U2969	2151	2	8278	3191	7	5831
U2970	915	0	8014	743	0	3021
U2971	1881.5	0	9953	1974	0	3875
U2972	1582.5	0	9619	1813	0	3598
U2973	2651	3	6472	2416	305	4710
U2974	2622.5	5	4366	1809	384	2948
U2975	2667.5	4	6419	2517.5	455	4782
U2976	3682	15	7954	3107	973	5384
U2977	2774	6	6539	2560	456	4798
U2978	2569	3	6774	2476	173	5053
U2979	2609	1	6712	2456.5	233	4837
U2980	2675	4	6484	2434	620	4476
U2981	2705	11	6550	2395.5	355	4839
U2982	3663.5	3	6896	2630	377	5117
U2983	2990	4	6765	2627.5	475	4959
U2984	2507	3	7329	2626	20	5029
U2985	2315	0	5868	2207	112	4541
U2986	2422	1	6864	2399.5	34	4763
U2987	2893	6	6723	2602	658	4843
U2988	2176.5	0	7350	2780	28	5178
U2989	2460	147	6095	2366	147	4667
U2990	2618	8	7012	2611	87	5183
U2991	2812.5	8	6559	2575	285	4983
U2992	2545	3	5778	2195.5	103	5019
U2993	2479	8	5372	2042	410	3947
U2994	362	0	1268	126	0	197
U2995	2977.5	7	7608	2742	276	5691
U2996	2688	6	6290	2442	428	4683
U2997	2691	4	6521	2498	405	4888
U2998	2432	13	6692	2493	69	4933
U2999	1145	0	7956	1850	0	3161
U3000	2599	8	5220	2297	415	4012
U3001	2335	19	5270	2117	361	4103
U3002	2558	3	5507	2048	162	4086
U3003	650	0	3051	1120	0	1523
U3004	2732	2	5721	2159	146	4344
U3005	2666	3	5662	2106	165	4320
U3006	2866	15	5584	2200	376	3950
U3007	2718	8	5807	2311	528	4246
U3008	2805	12	6356	2446	982	3932
U3009	2510	7	5231	2048	427	3721
U3010	2577	7	4945	1961.5	411	3523
U3011	2810	7	6811	2309.5	245	4903
U3012	2557	1	5363	2047	347	3934
U3013	2732	2	5563	2175	352	4200
U3014	1922	0	5528	2037	9	3690
U3015	2456	8	5038	1947	266	3637
U3016	2455	57	6702	2601.5	57	5077
U3017	2739.5	5	7145	2546	158	5328
U3018	2916	3	7590	2682	196	5593
U3019	3035	80	5579	1863.5	266	3824
U3020	2749	9	34764	2531	482	4695
U3021	2373	5	5762	2230.5	282	4321
U3022	2367.5	2	6353	2251.5	224	4624
U3023	2365.5	0	7327	2557	107	5257
U3024	2105.5	3	5261	2018	83	3898
U3025	2126.5	1	5125	1828	122	3575
U3026	2606	5	5829	2030.5	183	4074
U3027	2562	15	5854	2069.5	228	4036
U3028	2284	7	5132	1967.5	276	3800
U3029	2505	2	5475	2015.5	396	3878
U3030	3650.5	0	8202	2646	20	6325
U3031	2499	25	5573	2114.5	429	3936
U3032	2788	6	6532	2529	378	4966
U3033	2553	27	7274	2868	31	5535
U3034	2902	1	7567	2762	176	5815
U3035	3170.5	9	7690	2978	652	5621
U3036	2957	10	7499	2898	293	5911
U3037	3374	6	7914	3102	468	6133
U3038	5905	16	15146	5700	102	12412
U3039	3969	2	15324	4797.5	2	8003
U3040	1210	0	11207	3569	0	5310
U3041	5469	5	13222	4890.5	191	10727
U3042	4422	2	13631	5661	14	10610
U3043	720	0	8857	3038	0	4735
U3044	3644.5	3	13788	4338	3	7553
U3045	2291	0	13991	5543.5	0	9375
U3046	3994	4	14931	6149	5	10915
U3047	2393	0	14872	6200	0	10922
U3048	64	0	205	83	0	121
U3049	4510	3	13561	5474.5	12	10049
U3050	1935.5	0	6671	2941	0	5106
U3051	872	0	4596	1226	0	2079
U3052	81	0	413	118	0	219
U3053	2884.5	1	13124	3990	1	7122
U3054	912	0	6024	1926	0	3334
U3055	455	0	5703	2164	0	3422
U3056	103	0	556	203.5	0	304
U3057	3131	0	14238	5774	2	9909
U3058	2001	0	7723	3033	2	5236
U3059	1128.5	0	14323	4953	0	7774
U3060	4352	1	14271	5366	5	9605
U3061	164	0	484	255	0	381
U3062	3065	2	13290	5196.5	2	9430
U3063	127	0	621	211	0	288
U3064	108.5	0	647	121	0	307
U3065	3446	5	14917	5811	10	10486
U3066	179	0	356	167	3	250
U3067	2069	0	14643	5089.5	1	8455
U3068	122	0	714	158	0	345
U3069	2008	0	9381	3342.5	0	5842
U3070	4244	22	13531	5065	22	10126
U3071	186.5	0	708	249.5	0	361
U3072	3964	4	14222	5569.5	35	10850
U3073	1836	1	12725	4641	3	7829
U3074	134	0	813	363.5	0	546
U3075	5606	40	13789	4802	771	11193
U3076	175	0	408	215	1	331
U3077	3071	112	7864	3010	112	6337
U3078	44	0	73	38	0	63
U3079	550.5	0	1233	570	10	923
U3080	816	0	15436	4985.5	0	7760
U3081	2676.5	3	11143	5208	3	9073
U3082	39	0	95	8	0	42
U3083	1569.5	0	12664	2432.5	0	5509
U3084	133	0	556	228.5	0	324
U3085	6153	25	12275	4691	1323	9121
U3086	6550	44	12407	4515	1032	9228
U3087	630	0	9743	2542	0	4056
U3088	119.5	0	499	189	0	262
U3089	72.5	0	309	90.5	0	143
U3090	57	0	306	81	0	163
U3091	2740	4	14072	4902.5	14	10557
U3092	88	0	476	88	0	231
U3093	677	0	7968	3161.5	1	5477
U3094	168	0	873	264	0	388
U3095	872	0	9211	3635.5	0	6161
U3096	99.5	0	522	174	0	282
U3097	2841.5	1	13898	5025.5	1	8582
U3098	65	0	352	75	0	187
U3099	844	0	8662	2800	0	4252
U3100	158.5	0	516	60.5	0	263
